City,Date,PM2.5,PM10,NO2,CO,SO2
Quảng Ninh,2/24/2021,2,2,3,4,25
Bắc Ninh,2/24/2021,57,42,4,1,4
Bắc Ninh,2/24/2021,50,35,1,4,1
Hà Nội,2/24/2021,92,52,37,30,
Hà Nội,2/24/2021,82,47,39,3,
Hà Nội,2/24/2021,75,52,21,4,
Hà Nội,2/23/2021,95,1,27,9,1
Đà Nẵng,2/24/2021,,,1,2,7
Nha Trang,2/24/2021,,,1,1,4
Hà Nội,2/24/2021,102,60,10,6,
Hà Nội,2/24/2021,86,52,9,4,
Hà Nội,2/24/2021,113,63,23,4,
Hà Nội,2/24/2021,94,55,,5,
Cao Bằng,2/24/2021,113,122,,,
Hồ Chí Minh ,2/27/2021,104,,,,
Hà Nội,2/27/2021,,,,,
Hà Nội,2/27/2021,93,,1.4,0.2,3.6
Gia Lai,2/27/2021,97,57,21,6,2
Thừa Thiên Huế,2/27/2021,48,59,,2,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,2/27/2021,44,27,14,3,3
Lào Cai,2/27/2021,31,7,,43,100
Hạ Long,2/27/2021,26,14,,,
Quảng Ninh,2/27/2021,3,2,12,6,4
Bắc Ninh,2/27/2021,70,52,4,3,4
Bắc Ninh,2/27/2021,60,40,5,4,2
Hà Nội,2/27/2021,79,48,29,12,
Hà Nội,2/27/2021,88,51,40,5,
Hà Nội,2/27/2021,65,47,20,7,
Hà Nội,2/25/2021,1,54,59,2,1
Đà Nẵng,2/27/2021,,,1,4,6
Nha Trang,2/27/2021,,,1,1,4
Hà Nội,2/27/2021,97,62,9,10,
Hà Nội,2/27/2021,74,49,10,6,
Hà Nội,2/27/2021,112,59,16,5,
Hà Nội,2/27/2021,72,48,,6,
Cao Bằng,2/27/2021,90,198,,,
Hồ Chí Minh ,3/2/2021,61,,,,
Hà Nội,3/2/2021,,,,,
Hà Nội,3/2/2021,59,,7.4,0.1,3.6
Gia Lai,3/2/2021,15,14,5,2,2
Thừa Thiên Huế,3/2/2021,24,16,,2,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,3/2/2021,54,32,8,3,7
Lào Cai,3/2/2021,15,4,2,33,53
Hạ Long,3/2/2021,19,11,,,
Quảng Ninh,3/2/2021,6,6,12,6,14
Bắc Ninh,3/2/2021,26,20,3,3,4
Bắc Ninh,3/2/2021,28,23,4,4,3
Hà Nội,3/2/2021,63,50,19,20,
Hà Nội,3/2/2021,40,28,11,4,
Hà Nội,3/2/2021,39,36,20,6,
Hà Nội,2/25/2021,1,54,59,2,1
Đà Nẵng,3/2/2021,,,1,3,7
Nha Trang,3/2/2021,,,1,1,4
Hà Nội,3/2/2021,62,56,16,10,
Hà Nội,3/2/2021,42,35,12,7,
Hà Nội,3/2/2021,68,57,11,8,
Hà Nội,3/2/2021,44,32,,6,
Cao Bằng,3/2/2021,48,80,,,
Hồ Chí Minh ,3/3/2021,65,,,,
Hà Nội,3/3/2021,,,,,
Hà Nội,3/3/2021,153,,7.8,0.2,3.6
Gia Lai,3/3/2021,28,24,6,3,2
Thừa Thiên Huế,3/3/2021,26,20,,3,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,3/3/2021,54,32,20,6,6
Lào Cai,3/3/2021,21,2,4,32,127
Hạ Long,3/3/2021,21,11,,,
Quảng Ninh,3/3/2021,2,2,11,8,4
Bắc Ninh,3/3/2021,26,20,1,5,4
Bắc Ninh,3/3/2021,75,45,10,4,2
Hà Nội,3/3/2021,121,87,22,27,
Hà Nội,3/3/2021,83,56,10,6,
Hà Nội,3/3/2021,106,65,29,13,
Hà Nội,3/3/2021,112,80,13,7,1
Đà Nẵng,3/3/2021,,,1,9,7
Nha Trang,3/3/2021,,,2,2,4
Hà Nội,3/3/2021,122,87,18,10,
Hà Nội,3/3/2021,82,55,18,9,
Hà Nội,3/3/2021,123,89,23,15,
Hà Nội,3/3/2021,82,54,,9,
Cao Bằng,3/3/2021,109,115,,,
Hồ Chí Minh ,3/5/2021,50,,,,
Hà Nội,3/5/2021,,,,,
Hà Nội,3/5/2021,122,,7.8,0.2,3.6
Gia Lai,3/5/2021,26,21,5,2,2
Thừa Thiên Huế,3/5/2021,51,72,,7,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,3/5/2021,54,32,10,5,4
Lào Cai,3/5/2021,40,8,2,34,23
Hạ Long,3/5/2021,18,10,,,
Quảng Ninh,3/5/2021,6,4,22,6,23
Bắc Ninh,3/5/2021,26,20,2,4,4
Bắc Ninh,3/5/2021,38,25,12,4,1
Hà Nội,3/5/2021,118,85,25,22,
Hà Nội,3/5/2021,84,58,13,8,
Hà Nội,3/5/2021,100,61,22,9,
Hà Nội,3/5/2021,86,69,19,10,1
Đà Nẵng,3/3/2021,,,1,9,7
Nha Trang,3/5/2021,,,1,1,4
Hà Nội,3/5/2021,111,80,19,15,
Hà Nội,3/5/2021,86,73,18,9,
Hà Nội,3/5/2021,115,76,18,12,
Hà Nội,3/5/2021,96,58,,9,
Cao Bằng,3/5/2021,47,109,,,
Hồ Chí Minh ,3/8/2021,82,,,,
Hà Nội,3/8/2021,,,,,
Hà Nội,3/8/2021,139,,7.4,0.2,4.1
Gia Lai,3/8/2021,24,20,6,2,2
Thừa Thiên Huế,3/8/2021,6,13,,4,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,3/8/2021,,,8,4,3
Lào Cai,3/8/2021,30,10,3,40,41
Hạ Long,3/8/2021,35,19,,,
Quảng Ninh,3/8/2021,31,21,17,6,6
Bắc Ninh,3/8/2021,26,20,2,3,4
Bắc Ninh,3/8/2021,73,44,12,4,2
Hà Nội,3/8/2021,116,76,24,30,
Hà Nội,3/8/2021,19,14,9,4,
Hà Nội,3/8/2021,97,59,20,7,
Hà Nội,3/8/2021,121,87,16,9,1
Đà Nẵng,3/3/2021,,,1,9,7
Nha Trang,3/8/2021,,,1,2,4
Hà Nội,3/8/2021,131,81,17,12,
Hà Nội,3/8/2021,52,37,8,5,
Hà Nội,3/8/2021,135,82,23,18,
Hà Nội,3/8/2021,122,66,,9,
Cao Bằng,3/8/2021,6,9,,,3
Hồ Chí Minh ,3/14/2021,78,,,,
Hà Nội,3/14/2021,,,,,
Hà Nội,3/14/2021,119,,7.8,0.1,3.6
Gia Lai,3/14/2021,58,44,5,2,3
Thừa Thiên Huế,3/14/2021,35,45,,5,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,3/14/2021,,,8,3,5
Lào Cai,3/14/2021,47,7,3,34,99
Hạ Long,3/14/2021,35,21,,,
Quảng Ninh,3/14/2021,28,21,9,4,6
Bắc Ninh,3/12/2021,,,8,2,6
Bắc Ninh,3/14/2021,69,49,3,4,1
Hà Nội,3/14/2021,88,68,23,37,
Hà Nội,3/14/2021,65,45,10,5,
Hà Nội,3/14/2021,70,56,36,7,
Hà Nội,3/14/2021,82,57,21,3,1
Đà Nẵng,3/14/2021,,,11,4,15
Nha Trang,3/14/2021,,,2,2,4
Hà Nội,3/14/2021,91,71,20,12,
Hà Nội,3/14/2021,62,47,10,8,
Hà Nội,3/14/2021,86,68,20,14,
Hà Nội,3/14/2021,70,54,,6,
Cao Bằng,3/14/2021,1,2,,,2
Hồ Chí Minh ,3/16/2021,78,,,,
Hà Nội,3/16/2021,,,,,
Hà Nội,3/16/2021,80,,6.9,0.1,3.6
Gia Lai,3/16/2021,104,60,15,5,2
Thừa Thiên Huế,3/16/2021,32,30,,6,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,3/16/2021,,,8,3,5
Lào Cai,3/15/2021,29,7,6,32,40
Hạ Long,3/16/2021,24,13,,,
Quảng Ninh,3/16/2021,22,15,7,4,4
Bắc Ninh,3/12/2021,,,8,2,6
Bắc Ninh,3/16/2021,55,39,8,4,1
Hà Nội,3/16/2021,57,52,29,27,
Hà Nội,3/16/2021,52,37,5,3,
Hà Nội,3/16/2021,91,57,24,8,
Hà Nội,3/16/2021,66,56,15,5,1
Đà Nẵng,3/16/2021,,,11,2,19
Nha Trang,3/16/2021,,,1,2,4
Hà Nội,3/16/2021,97,67,12,6,
Hà Nội,3/16/2021,40,31,4,2,
Hà Nội,3/16/2021,105,73,14,10,
Hà Nội,3/16/2021,91,59,,7,
Cao Bằng,3/16/2021,87,150,,,4
Hồ Chí Minh ,3/24/2021,59,,,,
Hà Nội,3/24/2021,160,,,,
Hà Nội,3/24/2021,190,,9.2,0.1,9.2
Gia Lai,3/24/2021,11,14,7,3,2
Thừa Thiên Huế,3/24/2021,10,8,,11,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,3/21/2021,57,36,6,3,5
Lào Cai,3/24/2021,103,23,2,32,45
Hạ Long,3/24/2021,24,14,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,3/24/2021,85,66,9,3,10
Bắc Ninh,3/24/2021,132,89,16,4,23
Hà Nội,3/24/2021,133,94,25,18,
Hà Nội,3/24/2021,71,51,8,4,
Hà Nội,3/24/2021,91,62,20,11,
Hà Nội,3/24/2021,10,8,25,10,1
Đà Nẵng,3/24/2021,47,32,11,3,21
Nha Trang,3/24/2021,,,8,5,4
Hà Nội,3/24/2021,111,81,15,7,
Hà Nội,3/24/2021,64,46,8,4,
Hà Nội,3/24/2021,127,90,17,11,
Hà Nội,3/24/2021,91,58,,10,
Cao Bằng,3/24/2021,157,145,,,20
Hồ Chí Minh ,3/29/2021,57,,,,
Hà Nội,3/29/2021,164,,,,
Hà Nội,3/29/2021,155,,6.9,0.1,4.1
Gia Lai,3/29/2021,108,68,12,5,3
Thừa Thiên Huế,3/29/2021,10,8,,7,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,3/27/2021,50,38,8,3,6
Lào Cai,3/29/2021,154,59,1,34,46
Hạ Long,3/29/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,3/27/2021,25,20,29,4,4
Bắc Ninh,3/26/2021,25,17,8,4,1
Hà Nội,3/26/2021,133,95,44,28,
Hà Nội,3/28/2021,72,53,10,1,
Hà Nội,3/29/2021,96,58,24,3,
Hà Nội,3/28/2021,46,53,41,1,1
Đà Nẵng,3/29/2021,113,62,10,7,20
Nha Trang,3/29/2021,,,6,6,4
Hà Nội,3/25/2021,153,99,28,15,
Hà Nội,3/28/2021,66,55,4,2,
Hà Nội,3/28/2021,28,25,19,8,
Hà Nội,3/26/2021,108,69,,5,
Cao Bằng,3/29/2021,100,112,9,,3
Hồ Chí Minh ,3/31/2021,114,,,,
Hà Nội,3/31/2021,154,,,,
Hà Nội,3/31/2021,158,,8.3,0.2,4.1
Gia Lai,3/31/2021,106,62,11,4,1
Thừa Thiên Huế,3/31/2021,,,,7,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,3/31/2021,115,74,10,4,6
Lào Cai,3/31/2021,51,7,3,38,31
Hạ Long,3/31/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,3/31/2021,39,35,12,2,4
Bắc Ninh,3/31/2021,110,61,5,5,1
Hà Nội,3/30/2021,138,98,48,56,
Hà Nội,3/30/2021,98,63,15,10,
Hà Nội,3/30/2021,123,79,37,22,
Hà Nội,3/30/2021,128,85,60,11,2
Đà Nẵng,3/31/2021,69,44,11,3,20
Nha Trang,3/31/2021,,,5,3,4
Hà Nội,3/30/2021,137,97,25,15,
Hà Nội,3/30/2021,91,60,15,8,
Hà Nội,3/30/2021,139,98,31,20,
Hà Nội,3/30/2021,103,63,,15,
Cao Bằng,3/31/2021,167,151,12,,2
Hồ Chí Minh ,4/1/2021,95,,,,
Hà Nội,4/1/2021,90,,,,
Hà Nội,4/1/2021,107,,7.4,0.2,4.1
Gia Lai,4/1/2021,122,74,30,10,1
Thừa Thiên Huế,4/1/2021,,,,11,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,4/1/2021,94,73,6,3,6
Lào Cai,4/1/2021,146,43,4,34,53
Hạ Long,4/1/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/1/2021,27,25,10,2,3
Bắc Ninh,4/1/2021,60,43,5,5,1
Hà Nội,4/1/2021,46,44,22,12,
Hà Nội,4/1/2021,71,57,9,3,
Hà Nội,4/1/2021,91,62,24,11,
Hà Nội,4/1/2021,76,70,28,8,1
Đà Nẵng,4/1/2021,58,37,11,6,21
Nha Trang,4/1/2021,,,2,2,4
Hà Nội,4/1/2021,98,71,15,8,
Hà Nội,4/1/2021,44,38,6,2,
Hà Nội,4/1/2021,94,71,16,9,
Hà Nội,4/1/2021,88,61,,11,
Cao Bằng,4/1/2021,190,169,16,,1
Hồ Chí Minh ,4/5/2021,82,,,,
Hà Nội,4/5/2021,176,,,,
Hà Nội,4/5/2021,168,,8.3,0.2,4.6
Gia Lai,4/5/2021,44,37,5,2,11
Thừa Thiên Huế,4/5/2021,,,,6,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,4/4/2021,114,63,6,5,6
Lào Cai,4/5/2021,170,83,3,31,58
Hạ Long,4/5/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/5/2021,62,46,19,5,4
Bắc Ninh,4/5/2021,130,73,15,5,3
Hà Nội,4/5/2021,131,94,38,34,
Hà Nội,4/5/2021,109,64,10,6,
Hà Nội,4/5/2021,123,77,31,17,
Hà Nội,4/5/2021,127,91,37,7,1
Đà Nẵng,4/5/2021,35,22,11,7,22
Nha Trang,4/5/2021,,,4,3,4
Hà Nội,4/5/2021,132,94,18,11,
Hà Nội,4/5/2021,92,59,9,5,
Hà Nội,4/5/2021,128,93,22,18,
Hà Nội,4/5/2021,120,73,,13,
Cao Bằng,4/5/2021,83,110,3,,2
Hồ Chí Minh ,4/6/2021,72,,,,
Hà Nội,4/6/2021,142,,,,
Hà Nội,4/6/2021,87,,8.7,0.2,4.1
Gia Lai,4/6/2021,42,34,4,2,11
Thừa Thiên Huế,4/6/2021,,,,9,
Hà Nội,2/26/2021,0,0,0,0,0
Bắc Ninh,4/4/2021,114,63,6,5,6
Lào Cai,4/6/2021,161,76,1,32,55
Hạ Long,4/6/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/6/2021,43,49,35,4,5
Bắc Ninh,4/6/2021,51,39,5,4,2
Hà Nội,4/6/2021,101,75,23,31,
Hà Nội,4/6/2021,71,53,10,6,
Hà Nội,4/6/2021,78,55,33,11,
Hà Nội,4/6/2021,86,56,22,4,1
Đà Nẵng,4/6/2021,50,33,10,5,20
Nha Trang,4/6/2021,,,3,3,4
Hà Nội,4/6/2021,99,75,16,10,
Hà Nội,4/6/2021,69,49,9,5,
Hà Nội,4/6/2021,102,76,19,16,
Hà Nội,4/6/2021,70,50,,8,
Cao Bằng,4/6/2021,114,128,11,,2
Hồ Chí Minh ,4/11/2021,82,,,,
Hà Nội,4/11/2021,153,,,,
Hà Nội,4/11/2021,157,,6.9,0.1,5.6
Gia Lai,4/7/2021,49,37,3,2,11
Thừa Thiên Huế,4/11/2021,,,,4,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,4/4/2021,114,63,6,5,6
Lào Cai,4/11/2021,92,45,2,34,54
Hạ Long,4/11/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/11/2021,40,31,9,4,3
Bắc Ninh,4/11/2021,84,55,16,6,4
Hà Nội,4/10/2021,84,64,45,40,
Hà Nội,4/10/2021,22,15,15,7,
Hà Nội,4/10/2021,154,85,24,17,
Hà Nội,4/10/2021,104,81,54,12,2
Đà Nẵng,4/11/2021,41,22,11,1,20
Nha Trang,4/11/2021,,,3,2,4
Hà Nội,4/10/2021,147,96,25,24,
Hà Nội,4/10/2021,88,57,13,8,
Hà Nội,4/10/2021,164,111,31,21,
Hà Nội,4/10/2021,130,75,,15,
Cao Bằng,4/11/2021,37,27,1,,2
Hồ Chí Minh ,4/15/2021,89,,,,
Hà Nội,4/14/2021,62,,,,
Hà Nội,4/15/2021,78,,7.8,0.3,4.1
Gia Lai,4/7/2021,49,37,3,2,11
Thừa Thiên Huế,4/15/2021,,,,7,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,4/15/2021,50,46,9,4,7
Lào Cai,4/15/2021,255,285,1,34,57
Hạ Long,4/15/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/15/2021,79,83,5,2,3
Bắc Ninh,4/15/2021,22,26,5,4,2
Hà Nội,4/15/2021,52,50,23,12,
Hà Nội,4/15/2021,31,27,6,2,
Hà Nội,4/15/2021,41,35,23,8,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,4/15/2021,30,19,11,3,22
Nha Trang,4/15/2021,,,6,5,4
Hà Nội,4/15/2021,15,14,12,8,
Hà Nội,4/15/2021,12,10,6,2,
Hà Nội,4/15/2021,60,53,13,8,
Hà Nội,4/15/2021,48,37,,5,
Cao Bằng,4/15/2021,106,169,1,,2
Hồ Chí Minh ,4/16/2021,80,,,,
Hà Nội,4/14/2021,62,,,,
Hà Nội,4/16/2021,102,,7.4,0.1,4.1
Gia Lai,4/16/2021,60,43,10,4,11
Thừa Thiên Huế,4/16/2021,,,,7,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,4/16/2021,28,31,9,2,8
Lào Cai,4/16/2021,243,252,2,33,52
Hạ Long,4/16/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/16/2021,43,51,4,1,4
Bắc Ninh,4/16/2021,18,16,1,4,3
Hà Nội,4/16/2021,62,59,23,20,
Hà Nội,4/16/2021,22,16,5,3,
Hà Nội,4/16/2021,36,31,21,6,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,4/16/2021,46,29,11,2,21
Nha Trang,4/16/2021,,,1,1,4
Hà Nội,4/16/2021,40,38,12,5,
Hà Nội,4/16/2021,26,16,4,2,
Hà Nội,4/16/2021,61,59,20,13,
Hà Nội,4/16/2021,45,35,,7,
Cao Bằng,4/16/2021,115,129,,,2
Hồ Chí Minh ,4/18/2021,65,,,,
Hà Nội,4/18/2021,121,,,,
Hà Nội,4/18/2021,153,,7.4,0.2,5.1
Gia Lai,4/18/2021,116,64,20,7,11
Thừa Thiên Huế,4/18/2021,,,,7,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,4/18/2021,83,54,7,6,9
Lào Cai,4/18/2021,12,3,2,37,60
Hạ Long,4/18/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/18/2021,128,72,8,4,4
Bắc Ninh,4/18/2021,75,58,20,6,9
Hà Nội,4/18/2021,122,86,26,19,
Hà Nội,4/18/2021,64,49,9,4,
Hà Nội,4/18/2021,124,74,39,19,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,4/18/2021,32,20,11,9,22
Nha Trang,4/18/2021,,,1,1,4
Hà Nội,4/18/2021,121,83,18,12,
Hà Nội,4/18/2021,65,52,6,3,
Hà Nội,4/18/2021,128,84,19,9,
Hà Nội,4/18/2021,117,81,,14,
Cao Bằng,4/18/2021,41,74,,,2
Hồ Chí Minh ,4/23/2021,50,,,,
Hà Nội,4/23/2021,54,,,,
Hà Nội,4/23/2021,87,,6.9,0.1,4.1
Gia Lai,4/23/2021,28,23,9,3,11
Thừa Thiên Huế,4/23/2021,,,,5,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,4/23/2021,43,42,11,3,7
Lào Cai,4/23/2021,157,115,2,33,61
Hạ Long,4/23/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/22/2021,54,56,6,2,8
Bắc Ninh,4/23/2021,28,26,2,5,1
Hà Nội,4/23/2021,48,47,30,21,
Hà Nội,4/23/2021,22,17,5,2,
Hà Nội,4/23/2021,38,32,20,5,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,4/23/2021,51,33,11,3,22
Nha Trang,4/23/2021,,,4,1,4
Hà Nội,4/23/2021,46,45,15,6,
Hà Nội,4/23/2021,18,13,4,2,
Hà Nội,4/23/2021,37,37,18,10,
Hà Nội,4/23/2021,49,37,,5,
Cao Bằng,4/23/2021,86,102,1,,5
Hồ Chí Minh ,4/27/2021,70,,,,
Hà Nội,4/27/2021,74,,,,
Hà Nội,4/27/2021,85,,7.4,0.1,5.6
Gia Lai,4/27/2021,30,24,7,3,11
Thừa Thiên Huế,4/27/2021,,,,9,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,4/27/2021,76,140,13,5,8
Lào Cai,4/27/2021,29,1,1,35,66
Hạ Long,4/27/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/27/2021,20,18,3,3,2
Bắc Ninh,4/27/2021,18,19,4,30,8
Hà Nội,4/27/2021,59,53,39,36,
Hà Nội,4/27/2021,16,11,10,3,
Hà Nội,4/27/2021,28,21,26,9,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,4/27/2021,32,21,11,2,22
Nha Trang,4/27/2021,,,2,1,4
Hà Nội,4/27/2021,51,51,13,8,
Hà Nội,4/27/2021,18,13,8,3,
Hà Nội,4/27/2021,63,57,21,15,
Hà Nội,4/27/2021,43,29,,9,
Cao Bằng,4/27/2021,51,52,1,,7
Hồ Chí Minh ,4/29/2021,74,,,,
Hà Nội,4/29/2021,34,,,,
Hà Nội,4/29/2021,74,,7.8,0.1,5.1
Gia Lai,4/29/2021,19,16,3,1,11
Thừa Thiên Huế,4/29/2021,,,,5,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,4/29/2021,53,52,9,2,18
Lào Cai,4/29/2021,29,1,1,37,64
Hạ Long,4/29/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/29/2021,27,25,2,2,2
Bắc Ninh,4/29/2021,35,33,2,3,2
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,4/29/2021,42,34,11,3,28
Nha Trang,4/29/2021,,,2,1,4
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,4/29/2021,30,21,,5,
Cao Bằng,4/29/2021,60,107,1,,6
Hồ Chí Minh ,4/27/2021,78,,,,
Hà Nội,5/2/2021,131,,,,
Hà Nội,5/2/2021,76,,8.7,0.2,4.6
Gia Lai,4/29/2021,19,17,3,1,11
Thừa Thiên Huế,4/29/2021,,,,5,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,4/29/2021,91,108,11,3,7
Lào Cai,4/29/2021,29,1,2,44,66
Hạ Long,4/29/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,4/29/2021,30,28,3,2,2
Bắc Ninh,4/29/2021,44,38,5,3,2
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,4/29/2021,40,34,11,3,24
Nha Trang,4/29/2021,,,1,1,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,4/29/2021,27,19,,5,
Cao Bằng,4/29/2021,57,107,1,,2
Hồ Chí Minh ,5/5/2021,91,,,,
Hà Nội,5/5/2021,33,,,,
Hà Nội,5/5/2021,74,,8.7,0.2,4.6
Gia Lai,5/5/2021,25,17,4,2,12
Thừa Thiên Huế,5/5/2021,,,,8,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,5/5/2021,153,85,12,3,12
Lào Cai,5/5/2021,,1,3,34,53
Hạ Long,4/29/2021,,,,,
Quảng Ninh,3/22/2021,45,50,4,98,10
Bắc Ninh,5/5/2021,48,51,4,1,2
Bắc Ninh,5/5/2021,49,39,6,4,1
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,5/4/2021,58,33,11,1,24
Nha Trang,5/5/2021,,,7,7,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/4/2021,41,29,,5,
Cao Bằng,5/5/2021,40,37,1,,2
Hồ Chí Minh ,5/10/2021,55,,,,
Hà Nội,5/10/2021,53,,,,
Hà Nội,5/10/2021,112,,6.4,0.1,4.1
Gia Lai,5/10/2021,40,31,7,3,12
Thừa Thiên Huế,5/10/2021,,,,7,
