City,Date time,PM2.5,PM10,NO2,CO,SO2
Hồ Chí Minh ,1/21/2021 19:00,102,0,,,
Hà Nội,1/21/2021 20:00,,0,,,
Hà Nội,1/21/2021 20:00,281,0,8.7,0.3,2.1
Gia Lai,1/21/2021 20:00,36,29,6,3,1
Thừa Thiên Huế,1/21/2021 19:00,68,52,,2,
Hà Nội,1/21/2021 19:00,217,194,65,12,2
Bắc Ninh,1/21/2021 20:00,195,119,17,8,3
Lào Cai,1/21/2021 20:00,168,65,2,37,17
Hạ Long,1/21/2021 19:00,48,25,11,,
Quảng Ninh,1/21/2021 5:00,18,12,5,5,3
Bắc Ninh,1/21/2021 20:00,251,155,52,7,6
Bắc Ninh,1/21/2021 20:00,315,205,48,7,12
Hà Nội,1/21/2021 19:00,224,185,80,61,
Hà Nội,1/21/2021 19:00,177,112,42,20,
Hà Nội,1/21/2021 19:00,179,122,47,14,
Hà Nội,1/21/2021 19:00,214,149,36,19,1
Đà Nẵng,1/21/2021 19:00,,,1,3,5
Nha Trang,1/21/2021 20:00,,,13,7,3
Hà Nội,1/21/2021 19:00,213,175,34,31,
Hà Nội,1/21/2021 19:00,166,105,33,13,
Hà Nội,1/21/2021 19:00,221,177,31,38,
Hà Nội,1/21/2021 20:00,191,130,,17,
Cao Bằng,1/21/2021 21:00,213,204,,,2
Hồ Chí Minh ,1/22/2021 13:00,122,0,,,
Hà Nội,1/22/2021 13:00,,0,,,
Hà Nội,1/22/2021 13:00,189,0,8.7,0.1,3.1
Gia Lai,1/22/2021 13:00,17,18,13,4,1
Thừa Thiên Huế,1/22/2021 13:00,68,52,,2,
Hà Nội,1/22/2021 12:00,189,156,42,12,2
Bắc Ninh,1/22/2021 13:00,164,88,14,5,17
Lào Cai,1/22/2021 13:00,131,24,3,38,22
Hạ Long,1/22/2021 13:00,49,26,14,,
Quảng Ninh,1/22/2021 12:00,38,24,14,6,24
Bắc Ninh,1/22/2021 13:00,235,138,25,5,19
Bắc Ninh,1/22/2021 13:00,252,157,15,2,15
Hà Nội,1/22/2021 12:00,191,157,47,48,
Hà Nội,1/22/2021 12:00,161,90,31,9,
Hà Nội,1/22/2021 12:00,164,114,30,7,
Hà Nội,1/22/2021 12:00,183,126,20,9,1
Đà Nẵng,1/22/2021 13:00,,,1,2,6
Nha Trang,1/22/2021 13:00,,,4,2,3
Hà Nội,1/22/2021 12:00,186,151,25,14,
Hà Nội,1/22/2021 12:00,158,94,20,7,
Hà Nội,1/22/2021 12:00,188,152,37,17,
Hà Nội,1/22/2021 12:00,159,95,,9,
Cao Bằng,1/22/2021 13:00,208,212,,,2
Hồ Chí Minh ,1/23/2021 15:00,114,0,,,
Hà Nội,1/23/2021 14:00,,0,,,
Hà Nội,1/23/2021 13:00,189,0,8.7,0.2,4.6
Gia Lai,1/23/2021 15:00,26,25,12,4,1
Thừa Thiên Huế,1/23/2021 15:00,68,52,,2,
Hà Nội,1/23/2021 13:00,169,123,28,11,2
Bắc Ninh,1/23/2021 11:00,176,102,16,9,4
Lào Cai,1/23/2021 15:00,151,55,2,40,150
Hạ Long,1/23/2021 15:00,65,34,9,,
Quảng Ninh,1/23/2021 14:00,51,29,8,7,14
Bắc Ninh,1/23/2021 15:00,226,136,20,6,6
Bắc Ninh,1/23/2021 15:00,214,128,13,1,16
Hà Nội,1/23/2021 13:00,170,130,37,40,
Hà Nội,1/23/2021 13:00,149,81,33,7,
Hà Nội,1/23/2021 13:00,157,92,35,9,
Hà Nội,1/23/2021 13:00,160,106,23,10,1
Đà Nẵng,1/23/2021 15:00,,,1,3,6
Nha Trang,1/23/2021 15:00,,,2,2,3
Hà Nội,1/23/2021 13:00,167,123,20,13,
Hà Nội,1/23/2021 13:00,151,83,23,12,
Hà Nội,1/23/2021 13:00,168,121,31,11,
Hà Nội,1/23/2021 13:00,155,89,,11,
Cao Bằng,1/23/2021 15:00,194,340,,,2
Hồ Chí Minh ,1/25/2021 19:00,80,0,,,
Hà Nội,1/25/2021 19:00,,0,,,
Hà Nội,1/25/2021 19:00,139,0,12.8,0.2,1.6
Gia Lai,1/25/2021 19:00,70,53,17,6,2
Thừa Thiên Huế,1/25/2021 15:00,29,24,,1,
Hà Nội,1/25/2021 18:00,147,95,23,23,2
Bắc Ninh,1/23/2021 11:00,176,102,16,9,4
Lào Cai,1/25/2021 19:00,127,56,2,36,23
Hạ Long,1/25/2021 19:00,32,17,18,,
Quảng Ninh,1/25/2021 18:00,11,7,29,5,7
Bắc Ninh,1/25/2021 19:00,137,91,46,5,3
Bắc Ninh,1/25/2021 19:00,116,66,17,4,5
Hà Nội,1/25/2021 18:00,150,102,48,51,
Hà Nội,1/25/2021 18:00,106,66,11,5,
Hà Nội,1/25/2021 18:00,132,77,26,13,
Hà Nội,1/25/2021 18:00,145,84,15,6,1
Đà Nẵng,1/25/2021 19:00,,,1,9,6
Nha Trang,1/25/2021 19:00,,,3,2,3
Hà Nội,1/25/2021 18:00,146,102,24,15,
Hà Nội,1/25/2021 18:00,108,61,10,9,
Hà Nội,1/25/2021 18:00,151,104,23,17,
Hà Nội,1/25/2021 18:00,109,61,,8,
Cao Bằng,1/25/2021 19:00,174,185,,,1
Hồ Chí Minh ,1/26/2021 16:00,137,0,,,
Hà Nội,1/26/2021 16:00,,0,,,
Hà Nội,1/26/2021 16:00,134,0,10.1,0.1,1.6
Gia Lai,1/26/2021 16:00,26,25,9,3,1
Thừa Thiên Huế,1/26/2021 15:00,17,21,,2,
Hà Nội,1/26/2021 15:00,126,87,23,12,2
Bắc Ninh,1/23/2021 11:00,176,102,16,9,4
Lào Cai,1/26/2021 16:00,103,65,3,42,33
Hạ Long,1/26/2021 15:00,44,23,5,,
Quảng Ninh,1/26/2021 15:00,20,12,18,4,7
Bắc Ninh,1/26/2021 16:00,75,55,10,2,2
Bắc Ninh,1/26/2021 16:00,92,59,4,3,3
Hà Nội,1/26/2021 15:00,117,82,27,15,
Hà Nội,1/26/2021 15:00,73,51,11,4,
Hà Nội,1/26/2021 15:00,86,56,25,6,
Hà Nội,1/26/2021 14:00,104,64,22,5,1
Đà Nẵng,1/26/2021 16:00,,,1,3,6
Nha Trang,1/26/2021 16:00,,,2,1,3
Hà Nội,1/26/2021 15:00,113,83,14,8,
Hà Nội,1/26/2021 15:00,71,47,8,5,
Hà Nội,1/26/2021 15:00,117,69,20,8,
Hà Nội,1/26/2021 15:00,79,55,,6,
Cao Bằng,1/26/2021 16:00,188,186,,,1
Hồ Chí Minh ,1/27/2021 15:00,117,0,,,
Hà Nội,1/27/2021 15:00,,0,,,
Hà Nội,1/27/2021 15:00,109,0,15.6,0.2,2.1
Gia Lai,1/27/2021 15:00,14,14,3,2,1
Thừa Thiên Huế,1/27/2021 15:00,17,21,,1,
Hà Nội,1/27/2021 14:00,87,71,19,13,2
Bắc Ninh,1/27/2021 15:00,67,53,9,2,3
Lào Cai,1/27/2021 15:00,28,63,1,41,60
Hạ Long,1/27/2021 14:00,45,26,5,,
Quảng Ninh,1/27/2021 14:00,22,13,18,6,7
Bắc Ninh,1/27/2021 15:00,142,77,34,5,11
Bắc Ninh,1/27/2021 15:00,106,60,5,4,3
Hà Nội,1/27/2021 14:00,88,58,50,48,
Hà Nội,1/27/2021 14:00,71,47,13,4,
Hà Nội,1/27/2021 14:00,63,46,21,5,
Hà Nội,1/27/2021 14:00,80,53,12,5,1
Đà Nẵng,1/27/2021 15:00,,,1,9,6
Nha Trang,1/27/2021 15:00,,,4,2,3
Hà Nội,1/27/2021 14:00,84,64,8,5,
Hà Nội,1/27/2021 14:00,72,47,8,5,
Hà Nội,1/27/2021 14:00,82,56,19,9,
Hà Nội,1/27/2021 14:00,65,46,,4,
Cao Bằng,1/27/2021 15:00,191,199,,,1
Hồ Chí Minh ,1/29/2021 14:00,91,0,,,
Hà Nội,1/29/2021 15:00,,0,,,
Hà Nội,1/29/2021 15:00,164,0,14.2,0.2,5.1
Gia Lai,1/29/2021 15:00,30,22,5,2,2
Thừa Thiên Huế,1/29/2021 14:00,35,20,,2,
Hà Nội,1/29/2021 14:00,141,99,24,12,1
Bắc Ninh,1/29/2021 14:00,75,55,19,5,13
Lào Cai,1/29/2021 15:00,113,53,3,30,46
Hạ Long,1/29/2021 14:00,46,31,5,,
Quảng Ninh,1/29/2021 13:00,16,12,22,6,20
Bắc Ninh,1/29/2021 14:00,118,70,32,5,25
Bắc Ninh,1/29/2021 14:00,119,74,12,3,9
Hà Nội,1/29/2021 14:00,145,98,54,38,
Hà Nội,1/29/2021 14:00,96,60,22,6,
Hà Nội,1/29/2021 14:00,106,64,30,10,
Hà Nội,1/29/2021 14:00,134,74,18,6,1
Đà Nẵng,1/29/2021 14:00,,,1,6,6
Nha Trang,1/29/2021 14:00,,,5,4,3
Hà Nội,1/29/2021 14:00,139,97,15,10,
Hà Nội,1/29/2021 14:00,94,61,16,10,
Hà Nội,1/29/2021 14:00,138,96,28,18,
Hà Nội,1/29/2021 14:00,99,65,,10,
Cao Bằng,1/29/2021 15:00,139,126,,,1
Hồ Chí Minh ,1/30/2021 21:00,87,0,,,
Hà Nội,1/30/2021 22:00,,0,,,
Hà Nội,1/30/2021 21:00,215,0,13.3,0.2,3.1
Gia Lai,1/30/2021 22:00,32,22,3,2,2
Thừa Thiên Huế,1/30/2021 22:00,21,20,,1,
Hà Nội,1/30/2021 19:00,183,160,29,13,1
Bắc Ninh,1/30/2021 22:00,137,71,19,7,4
Lào Cai,1/30/2021 22:00,175,69,7,38,150
Hạ Long,1/30/2021 21:00,54,28,5,,
Quảng Ninh,1/30/2021 21:00,12,8,12,5,99
Bắc Ninh,1/30/2021 22:00,182,99,27,6,3
Bắc Ninh,1/30/2021 22:00,119,74,21,3,4
Hà Nội,1/30/2021 20:00,192,147,48,34,
Hà Nội,1/30/2021 20:00,161,102,34,13,
Hà Nội,1/30/2021 20:00,178,118,49,17,
Hà Nội,1/30/2021 20:00,186,128,31,17,2
Đà Nẵng,1/30/2021 21:00,,,1,13,6
Nha Trang,1/30/2021 22:00,,,2,2,3
Hà Nội,1/30/2021 20:00,189,158,35,15,
Hà Nội,1/30/2021 20:00,156,104,35,15,
Hà Nội,1/30/2021 20:00,191,161,45,20,
Hà Nội,1/30/2021 20:00,176,112,,16,
Cao Bằng,1/30/2021 22:00,189,168,,,1
Hồ Chí Minh ,1/31/2021 23:00,59,,,,
Hà Nội,1/31/2021 22:00,,,,,
Hà Nội,1/31/2021 22:00,117,0,9.2,0.1,1.6
Gia Lai,1/31/2021 23:00,20,17,3,1,2
Thừa Thiên Huế,1/31/2021 23:00,19,27,,1,
Hà Nội,1/31/2021 21:00,180,131,23,17,1
Bắc Ninh,1/31/2021 23:00,60,39,14,3,2
Lào Cai,1/31/2021 23:00,135,65,3,30,22
Hạ Long,1/31/2021 23:00,33,17,5,,
Quảng Ninh,1/31/2021 22:00,10,7,43,5,99
Bắc Ninh,1/31/2021 22:00,97,60,30,3,5
Bắc Ninh,1/31/2021 23:00,119,74,14,2,2
Hà Nội,1/31/2021 21:00,175,121,40,41,
Hà Nội,1/31/2021 21:00,140,71,19,5,
Hà Nội,1/31/2021 21:00,140,82,24,9,
Hà Nội,1/31/2021 20:00,184,111,21,8,1
Đà Nẵng,1/31/2021 23:00,,,1,7,6
Nha Trang,1/31/2021 23:00,,,11,3,4
Hà Nội,1/31/2021 21:00,179,132,23,14,
Hà Nội,1/31/2021 21:00,159,88,12,7,
Hà Nội,1/31/2021 21:00,183,132,28,19,
Hà Nội,1/31/2021 21:00,150,78,,7,
Cao Bằng,1/31/2021 23:00,177,117,,,1
Hồ Chí Minh ,2/3/2021 0:00,59,,,,
Hà Nội,2/3/2021 0:00,,,,,
Hà Nội,2/3/2021 0:00,161,0,12.8,0.1,4.6
Gia Lai,2/3/2021 0:00,24,16,2,1,2
Thừa Thiên Huế,2/3/2021 0:00,54,42,,1,
Hà Nội,2/2/2021 21:00,111,78,28,18,1
Bắc Ninh,2/2/2021 10:00,34,28,15,2,2
Lào Cai,2/3/2021 0:00,155,68,4,28,19
Hạ Long,2/2/2021 23:00,43,22,,,
Quảng Ninh,2/2/2021 23:00,5,3,9,5,99
Bắc Ninh,2/2/2021 10:00,115,68,27,3,3
Bắc Ninh,2/2/2021 11:00,119,74,7,3,4
Hà Nội,2/2/2021 21:00,144,98,38,40,
Hà Nội,2/2/2021 21:00,97,56,16,6,
Hà Nội,2/2/2021 21:00,95,59,36,10,
Hà Nội,2/2/2021 21:00,113,70,18,4,1
Đà Nẵng,2/2/2021 23:00,,,1,3,6
Nha Trang,2/3/2021 0:00,,,7,2,3
Hà Nội,2/2/2021 21:00,119,81,23,17,
Hà Nội,2/2/2021 21:00,98,57,12,7,
Hà Nội,2/2/2021 21:00,131,94,26,21,
Hà Nội,2/2/2021 21:00,105,61,,7,
Cao Bằng,2/2/2021 17:00,53,83,,,1
Hồ Chí Minh ,2/3/2021 21:00,76,,,,
Hà Nội,2/3/2021 21:00,,,,,
Hà Nội,2/3/2021 21:00,93,0,11.5,0.1,4.6
Gia Lai,2/3/2021 21:00,37,28,5,2,2
Thừa Thiên Huế,2/3/2021 21:00,30,32,,2,
Hà Nội,2/3/2021 20:00,108,67,22,13,1
Bắc Ninh,2/3/2021 21:00,40,31,6,1,2
Lào Cai,2/3/2021 21:00,183,90,6,31,54
Hạ Long,2/3/2021 21:00,45,23,,,
Quảng Ninh,2/3/2021 20:00,5,3,10,6,99
Bắc Ninh,2/3/2021 7:00,86,53,9,2,2
Bắc Ninh,2/3/2021 21:00,119,74,4,3,1
Hà Nội,2/3/2021 20:00,102,76,35,38,
Hà Nội,2/3/2021 20:00,82,52,9,4,
Hà Nội,2/3/2021 20:00,83,56,27,6,
Hà Nội,2/3/2021 20:00,103,60,14,2,1
Đà Nẵng,2/3/2021 21:00,,,1,13,6
Nha Trang,2/3/2021 21:00,,,2,1,3
Hà Nội,2/3/2021 20:00,98,74,25,14,
Hà Nội,2/3/2021 20:00,75,56,7,5,
Hà Nội,2/3/2021 20:00,102,76,27,20,
Hà Nội,2/3/2021 20:00,74,53,,5,
Cao Bằng,2/2/2021 17:00,53,83,,,1
Hồ Chí Minh ,2/5/2021 14:00,137,,,,
Hà Nội,2/5/2021 14:00,,,,,
Hà Nội,2/5/2021 13:00,124,0,19.2,0.1,4.6
Gia Lai,2/5/2021 14:00,14,12,5,2,1
Thừa Thiên Huế,2/5/2021 14:00,38,90,,3,
Hà Nội,2/5/2021 13:00,114,81,18,9,1
Bắc Ninh,2/5/2021 14:00,50,40,9,2,3
Lào Cai,2/5/2021 14:00,54,14,4,31,59
Hạ Long,2/5/2021 13:00,31,22,,,
Quảng Ninh,2/5/2021 13:00,8,5,14,4,99
Bắc Ninh,2/5/2021 14:00,96,58,4,2,4
Bắc Ninh,2/5/2021 14:00,,,2,2,2
Hà Nội,2/5/2021 13:00,123,82,25,18,
Hà Nội,2/5/2021 13:00,82,51,15,4,
Hà Nội,2/5/2021 13:00,89,60,23,5,
Hà Nội,2/5/2021 13:00,104,68,14,1,1
Đà Nẵng,2/5/2021 14:00,,,1,8,6
Nha Trang,2/5/2021 14:00,,,4,2,3
Hà Nội,2/5/2021 13:00,112,69,14,13,
Hà Nội,2/5/2021 13:00,78,52,8,4,
Hà Nội,2/5/2021 13:00,116,80,17,15,
Hà Nội,2/5/2021 13:00,94,58,,6,
Cao Bằng,2/5/2021 14:00,90,99,,,1
Hồ Chí Minh ,2/6/2021 17:00,91,,,,
Hà Nội,2/6/2021 18:00,,,,,
Hà Nội,2/6/2021 11:00,139,0,20.6,0.2,5.1
Gia Lai,2/6/2021 18:00,25,25,4,2,1
Thừa Thiên Huế,2/6/2021 18:00,39,69,,2,
Hà Nội,2/6/2021 17:00,85,60,14,7,2
Bắc Ninh,2/6/2021 18:00,75,77,12,4,2
Lào Cai,2/6/2021 18:00,45,8,2,32,41
Hạ Long,2/6/2021 14:00,22,13,,,
Quảng Ninh,2/6/2021 17:00,5,4,10,4,99
Bắc Ninh,2/6/2021 18:00,149,84,6,3,4
Bắc Ninh,2/6/2021 18:00,,,6,3,2
Hà Nội,2/6/2021 17:00,85,67,34,35,
Hà Nội,2/6/2021 17:00,61,47,8,4,
Hà Nội,2/6/2021 17:00,64,51,30,9,
Hà Nội,2/6/2021 17:00,73,62,23,2,1
Đà Nẵng,2/6/2021 17:00,,,1,14,6
Nha Trang,2/6/2021 17:00,,,2,3,4
Hà Nội,2/6/2021 17:00,85,67,19,11,
Hà Nội,2/6/2021 17:00,55,40,7,6,
Hà Nội,2/6/2021 17:00,85,68,23,18,
Hà Nội,2/6/2021 17:00,59,43,,6,
Cao Bằng,2/6/2021 18:00,162,121,,,1
Hồ Chí Minh ,2/9/2021 15:00,102,,,,
Hà Nội,2/9/2021 15:00,,,,,
Hà Nội,2/9/2021 15:00,70,0,9.6,0.1,3.6
Gia Lai,2/9/2021 15:00,24,21,12,6,1
Thừa Thiên Huế,2/9/2021 15:00,16,12,,1,
Hà Nội,2/9/2021 14:00,46,43,25,8,1
Bắc Ninh,2/9/2021 15:00,17,9,9,3,2
Lào Cai,2/9/2021 15:00,91,45,2,44,70
Hạ Long,2/6/2021 15:00,22,13,,,
Quảng Ninh,2/9/2021 14:00,1,1,5,6,3.8
Bắc Ninh,2/9/2021 15:00,14,8,1,3,1
Bắc Ninh,2/9/2021 15:00,,,3,4,1
Hà Nội,2/9/2021 14:00,46,44,13,10,
Hà Nội,2/9/2021 14:00,32,21,9,5,
Hà Nội,2/9/2021 14:00,38,26,12,5,
Hà Nội,2/9/2021 14:00,40,29,15,4,1
Đà Nẵng,2/9/2021 15:00,,,1,5,6
Nha Trang,2/9/2021 15:00,,,1,1,4
Hà Nội,2/9/2021 14:00,43,41,8,6,
Hà Nội,2/9/2021 14:00,34,28,7,5,
Hà Nội,2/9/2021 14:00,46,44,12,7,
Hà Nội,2/9/2021 14:00,42,28,,5,
Cao Bằng,2/9/2021 15:00,30,21,,,
Hồ Chí Minh ,2/14/2021 20:00,63,,,,
Hà Nội,2/14/2021 21:00,0,0,,13,0
Hà Nội,2/14/2021 20:00,167,0,11.9,0.1,4.6
Gia Lai,2/11/2021 16:00,21,15,7,3,1
Thừa Thiên Huế,2/14/2021 21:00,59,51,,1,
Hà Nội,2/14/2021 18:00,94,67,21,7,2
Bắc Ninh,2/14/2021 20:00,86,49,7,3,2
Lào Cai,2/14/2021 21:00,112,44,1,34,20
Hạ Long,2/14/2021 20:00,36,19,,,
Quảng Ninh,2/14/2021 20:00,8,5,8,6,99.7
Bắc Ninh,2/14/2021 21:00,77,48,4,3,3
Bắc Ninh,2/14/2021 21:00,,,3,4,2
Hà Nội,2/14/2021 18:00,91,60,21,14,
Hà Nội,2/14/2021 18:00,53,29,8,4,
Hà Nội,2/14/2021 18:00,42,34,19,4,
Hà Nội,2/14/2021 18:00,93,53,27,20,2
Đà Nẵng,2/14/2021 20:00,,,1,6,6
Nha Trang,2/14/2021 21:00,,,12,6,4
Hà Nội,2/14/2021 18:00,79,57,12,8,
Hà Nội,2/14/2021 18:00,50,30,6,5,
Hà Nội,2/14/2021 18:00,94,63,16,6,
Hà Nội,2/14/2021 18:00,48,37,,5,
Cao Bằng,2/14/2021 21:00,139,124,,,
Hồ Chí Minh ,2/15/2021 14:00,74,,,,
Hà Nội,2/15/2021 14:00,,,,,
Hà Nội,2/15/2021 14:00,144,,14.2,0.1,4.6
Gia Lai,2/11/2021 16:00,21,15,7,3,1
Thừa Thiên Huế,2/15/2021 14:00,28,42,,1,
Hà Nội,2/15/2021 12:00,105,73,26,7,2
Bắc Ninh,2/15/2021 14:00,47,28,4,2,2
Lào Cai,2/15/2021 14:00,148,52,3,41,59
Hạ Long,2/15/2021 13:00,23,12,,,
Quảng Ninh,2/15/2021 13:00,6,4,3,5,9
Bắc Ninh,2/15/2021 14:00,57,34,2,2,3
Bắc Ninh,2/15/2021 14:00,,,1,4,1
Hà Nội,2/15/2021 12:00,131,93,30,27,
Hà Nội,2/15/2021 12:00,87,54,8,4,
Hà Nội,2/15/2021 12:00,98,64,26,4,
Hà Nội,2/15/2021 12:00,96,60,29,5,1
Đà Nẵng,2/15/2021 14:00,,,1,2,6
Nha Trang,2/15/2021 14:00,,,1,2,4
Hà Nội,2/15/2021 12:00,111,76,17,13,
Hà Nội,2/15/2021 12:00,94,54,10,5,
Hà Nội,2/15/2021 12:00,121,85,22,16,
Hà Nội,2/15/2021 12:00,101,57,,6,
Cao Bằng,2/15/2021 14:00,85,67,,,
Hồ Chí Minh ,2/16/2021 13:00,97,,,,
Hà Nội,2/16/2021 14:00,,,,,
Hà Nội,2/16/2021 13:00,153,,12.4,0.1,4.6
Gia Lai,2/16/2021 14:00,35,24,5,2,1
Thừa Thiên Huế,2/16/2021 14:00,39,53,,1,
Hà Nội,2/16/2021 12:00,56,53,20,5,1
Bắc Ninh,2/16/2021 14:00,63,38,6,2,3
Lào Cai,2/16/2021 14:00,119,32,3,39,76
Hạ Long,2/16/2021 13:00,26,14,,,
Quảng Ninh,2/16/2021 13:00,5,4,3,4,14
Bắc Ninh,2/16/2021 14:00,75,49,7,3,5
Bắc Ninh,2/16/2021 14:00,,,2,3,1
Hà Nội,2/16/2021 12:00,113,79,21,33,
Hà Nội,2/16/2021 12:00,88,59,9,3,
Hà Nội,2/16/2021 12:00,74,50,17,5,
Hà Nội,2/16/2021 12:00,97,56,33,3,1
Đà Nẵng,2/16/2021 13:00,,,1,2,6
Nha Trang,2/16/2021 14:00,,,1,1,4
Hà Nội,2/16/2021 12:00,109,75,21,12,
Hà Nội,2/16/2021 12:00,98,63,6,5,
Hà Nội,2/16/2021 12:00,111,69,25,2,
Hà Nội,2/16/2021 12:00,91,53,,5,
Cao Bằng,2/16/2021 14:00,70,58,,,
Hồ Chí Minh ,2/17/2021 12:00,74,,,,
Hà Nội,2/17/2021 12:00,,,,,
Hà Nội,2/17/2021 12:00,76,,7.4,0.1,4.1
Gia Lai,2/17/2021 12:00,37,27,3,1,1
Thừa Thiên Huế,2/17/2021 13:00,26,41,,1,
Hà Nội,2/17/2021 9:00,83,66,17,4,2
Bắc Ninh,2/17/2021 12:00,36,34,7,2,3
Lào Cai,2/17/2021 13:00,139,55,2,38,117
Hạ Long,2/17/2021 12:00,41,25,,,
Quảng Ninh,2/17/2021 11:00,10,7,7,6,22
Bắc Ninh,2/17/2021 12:00,41,27,2,3,5
Bắc Ninh,2/17/2021 12:00,,,3,4,2
Hà Nội,2/17/2021 9:00,87,68,29,23,
Hà Nội,2/17/2021 9:00,49,28,9,5,
Hà Nội,2/17/2021 9:00,45,33,31,8,
Hà Nội,2/17/2021 9:00,78,49,20,6,1
Đà Nẵng,2/17/2021 12:00,,,1,1,6
Nha Trang,2/17/2021 12:00,,,2,2,4
Hà Nội,2/17/2021 9:00,83,66,17,14,
Hà Nội,2/17/2021 9:00,44,28,8,6,
Hà Nội,2/17/2021 9:00,81,65,23,16,
Hà Nội,2/17/2021 9:00,49,31,,8,
Cao Bằng,2/17/2021 13:00,36,51,,,
Hồ Chí Minh ,2/18/2021 13:00,93,,,,
Hà Nội,2/18/2021 13:00,,,,,
Hà Nội,2/18/2021 13:00,154,,4.6,0.1,6.1
Gia Lai,2/18/2021 13:00,33,27,1,1,1
Thừa Thiên Huế,2/18/2021 14:00,39,64,,1,
Hà Nội,2/18/2021 12:00,112,77,31,7,2
Bắc Ninh,2/18/2021 13:00,83,51,8,3,4
Lào Cai,2/18/2021 14:00,192,87,2,32,44
Hạ Long,2/18/2021 13:00,24,19,,,
Quảng Ninh,2/18/2021 12:00,5,4,4,5,22
Bắc Ninh,2/18/2021 13:00,101,56,14,5,15
Bắc Ninh,2/18/2021 14:00,,,9,3,8
Hà Nội,2/18/2021 12:00,116,79,30,38,
