Station ID,Date,PM2.5,PM10,NO2,CO,SO2
13251,2/26/2021,1,1,50,12,1
12976,3/14/2021,,,8,3,5
13250,3/14/2021,47,7,3,34,99
5507,3/14/2021,35,21,,,
11778,3/14/2021,28,21,9,4,6
12958,3/12/2021,,,8,2,6
12957,3/14/2021,69,49,3,4,1
13015,3/14/2021,88,68,23,37,
13018,3/14/2021,65,45,10,5,
13019,3/14/2021,70,56,36,7,
13026,3/14/2021,82,57,21,3,1
1584,3/14/2021,,,11,4,15
1585,3/14/2021,,,2,2,4
13017,3/14/2021,91,71,20,12,
13020,3/14/2021,62,47,10,8,
13013,3/14/2021,86,68,20,14,
13014,3/14/2021,70,54,,6,
13252,3/14/2021,1,2,,,2
8767,3/16/2021,78,,,,
8688,3/16/2021,,,,,
8641,3/16/2021,80,,6.9,0.1,3.6
13012,3/16/2021,104,60,15,5,2
12488,3/16/2021,32,30,,6,
13251,2/26/2021,1,1,50,12,1
12976,3/16/2021,,,8,3,5
13250,3/15/2021,29,7,6,32,40
5507,3/16/2021,24,13,,,
11778,3/16/2021,22,15,7,4,4
12958,3/12/2021,,,8,2,6
12957,3/16/2021,55,39,8,4,1
13015,3/16/2021,57,52,29,27,
13018,3/16/2021,52,37,5,3,
13019,3/16/2021,91,57,24,8,
13026,3/16/2021,66,56,15,5,1
1584,3/16/2021,,,11,2,19
1585,3/16/2021,,,1,2,4
13017,3/16/2021,97,67,12,6,
13020,3/16/2021,40,31,4,2,
13013,3/16/2021,105,73,14,10,
13014,3/16/2021,91,59,,7,
13252,3/16/2021,87,150,,,4
8767,3/24/2021,59,,,,
8688,3/24/2021,160,,,,
8641,3/24/2021,190,,9.2,0.1,9.2
13012,3/24/2021,11,14,7,3,2
12488,3/24/2021,10,8,,11,
13251,2/26/2021,1,1,50,12,1
12976,3/21/2021,57,36,6,3,5
13250,3/24/2021,103,23,2,32,45
5507,3/24/2021,24,14,,,
11778,3/22/2021,45,50,4,98,10
12958,3/24/2021,85,66,9,3,10
12957,3/24/2021,132,89,16,4,23
13015,3/24/2021,133,94,25,18,
13018,3/24/2021,71,51,8,4,
13019,3/24/2021,91,62,20,11,
13026,3/24/2021,10,8,25,10,1
1584,3/24/2021,47,32,11,3,21
1585,3/24/2021,,,8,5,4
13017,3/24/2021,111,81,15,7,
13020,3/24/2021,64,46,8,4,
13013,3/24/2021,127,90,17,11,
13014,3/24/2021,91,58,,10,
13252,3/24/2021,157,145,,,20
8767,3/29/2021,57,,,,
8688,3/29/2021,164,,,,
8641,3/29/2021,155,,6.9,0.1,4.1
13012,3/29/2021,108,68,12,5,3
12488,3/29/2021,10,8,,7,
13251,2/26/2021,1,1,50,12,1
12976,3/27/2021,50,38,8,3,6
13250,3/29/2021,154,59,1,34,46
5507,3/29/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,3/27/2021,25,20,29,4,4
12957,3/26/2021,25,17,8,4,1
13015,3/26/2021,133,95,44,28,
13018,3/28/2021,72,53,10,1,
13019,3/29/2021,96,58,24,3,
13026,3/28/2021,46,53,41,1,1
1584,3/29/2021,113,62,10,7,20
1585,3/29/2021,,,6,6,4
13017,3/25/2021,153,99,28,15,
13020,3/28/2021,66,55,4,2,
13013,3/28/2021,28,25,19,8,
13014,3/26/2021,108,69,,5,
13252,3/29/2021,100,112,9,,3
8767,3/31/2021,114,,,,
8688,3/31/2021,154,,,,
8641,3/31/2021,158,,8.3,0.2,4.1
13012,3/31/2021,106,62,11,4,1
12488,3/31/2021,,,,7,
13251,2/26/2021,1,1,50,12,1
12976,3/31/2021,115,74,10,4,6
13250,3/31/2021,51,7,3,38,31
5507,3/31/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,3/31/2021,39,35,12,2,4
12957,3/31/2021,110,61,5,5,1
13015,3/30/2021,138,98,48,56,
13018,3/30/2021,98,63,15,10,
13019,3/30/2021,123,79,37,22,
13026,3/30/2021,128,85,60,11,2
1584,3/31/2021,69,44,11,3,20
1585,3/31/2021,,,5,3,4
13017,3/30/2021,137,97,25,15,
13020,3/30/2021,91,60,15,8,
13013,3/30/2021,139,98,31,20,
13014,3/30/2021,103,63,,15,
13252,3/31/2021,167,151,12,,2
8767,4/1/2021,95,,,,
8688,4/1/2021,90,,,,
8641,4/1/2021,107,,7.4,0.2,4.1
13012,4/1/2021,122,74,30,10,1
12488,4/1/2021,,,,11,
13251,2/26/2021,1,1,50,12,1
12976,4/1/2021,94,73,6,3,6
13250,4/1/2021,146,43,4,34,53
5507,4/1/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/1/2021,27,25,10,2,3
12957,4/1/2021,60,43,5,5,1
13015,4/1/2021,46,44,22,12,
13018,4/1/2021,71,57,9,3,
13019,4/1/2021,91,62,24,11,
13026,4/1/2021,76,70,28,8,1
1584,4/1/2021,58,37,11,6,21
1585,4/1/2021,,,2,2,4
13017,4/1/2021,98,71,15,8,
13020,4/1/2021,44,38,6,2,
13013,4/1/2021,94,71,16,9,
13014,4/1/2021,88,61,,11,
13252,4/1/2021,190,169,16,,1
8767,4/5/2021,82,,,,
8688,4/5/2021,176,,,,
8641,4/5/2021,168,,8.3,0.2,4.6
13012,4/5/2021,44,37,5,2,11
12488,4/5/2021,,,,6,
13251,2/26/2021,1,1,50,12,1
12976,4/4/2021,114,63,6,5,6
13250,4/5/2021,170,83,3,31,58
5507,4/5/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/5/2021,62,46,19,5,4
12957,4/5/2021,130,73,15,5,3
13015,4/5/2021,131,94,38,34,
13018,4/5/2021,109,64,10,6,
13019,4/5/2021,123,77,31,17,
13026,4/5/2021,127,91,37,7,1
1584,4/5/2021,35,22,11,7,22
1585,4/5/2021,,,4,3,4
13017,4/5/2021,132,94,18,11,
13020,4/5/2021,92,59,9,5,
13013,4/5/2021,128,93,22,18,
13014,4/5/2021,120,73,,13,
13252,4/5/2021,83,110,3,,2
8767,4/6/2021,72,,,,
8688,4/6/2021,142,,,,
8641,4/6/2021,87,,8.7,0.2,4.1
13012,4/6/2021,42,34,4,2,11
12488,4/6/2021,,,,9,
13251,2/26/2021,0,0,0,0,0
12976,4/4/2021,114,63,6,5,6
13250,4/6/2021,161,76,1,32,55
5507,4/6/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/6/2021,43,49,35,4,5
12957,4/6/2021,51,39,5,4,2
13015,4/6/2021,101,75,23,31,
13018,4/6/2021,71,53,10,6,
13019,4/6/2021,78,55,33,11,
13026,4/6/2021,86,56,22,4,1
1584,4/6/2021,50,33,10,5,20
1585,4/6/2021,,,3,3,4
13017,4/6/2021,99,75,16,10,
13020,4/6/2021,69,49,9,5,
13013,4/6/2021,102,76,19,16,
13014,4/6/2021,70,50,,8,
13252,4/6/2021,114,128,11,,2
8767,4/11/2021,82,,,,
8688,4/11/2021,153,,,,
8641,4/11/2021,157,,6.9,0.1,5.6
13012,4/7/2021,49,37,3,2,11
12488,4/11/2021,,,,4,
13251,2/26/2021,1,1,50,12,1
12976,4/4/2021,114,63,6,5,6
13250,4/11/2021,92,45,2,34,54
5507,4/11/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/11/2021,40,31,9,4,3
12957,4/11/2021,84,55,16,6,4
13015,4/10/2021,84,64,45,40,
13018,4/10/2021,22,15,15,7,
13019,4/10/2021,154,85,24,17,
13026,4/10/2021,104,81,54,12,2
1584,4/11/2021,41,22,11,1,20
1585,4/11/2021,,,3,2,4
13017,4/10/2021,147,96,25,24,
13020,4/10/2021,88,57,13,8,
13013,4/10/2021,164,111,31,21,
13014,4/10/2021,130,75,,15,
13252,4/11/2021,37,27,1,,2
8767,4/15/2021,89,,,,
8688,4/14/2021,62,,,,
8641,4/15/2021,78,,7.8,0.3,4.1
13012,4/7/2021,49,37,3,2,11
12488,4/15/2021,,,,7,
13251,2/26/2021,1,1,50,12,1
12976,4/15/2021,50,46,9,4,7
13250,4/15/2021,255,285,1,34,57
5507,4/15/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/15/2021,79,83,5,2,3
12957,4/15/2021,22,26,5,4,2
13015,4/15/2021,52,50,23,12,
13018,4/15/2021,31,27,6,2,
13019,4/15/2021,41,35,23,8,
13026,4/12/2021,1,1,27,6,1
1584,4/15/2021,30,19,11,3,22
1585,4/15/2021,,,6,5,4
13017,4/15/2021,15,14,12,8,
13020,4/15/2021,12,10,6,2,
13013,4/15/2021,60,53,13,8,
13014,4/15/2021,48,37,,5,
13252,4/15/2021,106,169,1,,2
8767,4/16/2021,80,,,,
8688,4/14/2021,62,,,,
8641,4/16/2021,102,,7.4,0.1,4.1
13012,4/16/2021,60,43,10,4,11
12488,4/16/2021,,,,7,
13251,2/26/2021,1,1,50,12,1
12976,4/16/2021,28,31,9,2,8
13250,4/16/2021,243,252,2,33,52
5507,4/16/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/16/2021,43,51,4,1,4
12957,4/16/2021,18,16,1,4,3
13015,4/16/2021,62,59,23,20,
13018,4/16/2021,22,16,5,3,
13019,4/16/2021,36,31,21,6,
13026,4/12/2021,1,1,27,6,1
1584,4/16/2021,46,29,11,2,21
1585,4/16/2021,,,1,1,4
13017,4/16/2021,40,38,12,5,
13020,4/16/2021,26,16,4,2,
13013,4/16/2021,61,59,20,13,
13014,4/16/2021,45,35,,7,
13252,4/16/2021,115,129,,,2
8767,4/18/2021,65,,,,
8688,4/18/2021,121,,,,
8641,4/18/2021,153,,7.4,0.2,5.1
13012,4/18/2021,116,64,20,7,11
12488,4/18/2021,,,,7,
13251,2/26/2021,1,1,50,12,1
12976,4/18/2021,83,54,7,6,9
13250,4/18/2021,12,3,2,37,60
5507,4/18/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/18/2021,128,72,8,4,4
12957,4/18/2021,75,58,20,6,9
13015,4/18/2021,122,86,26,19,
13018,4/18/2021,64,49,9,4,
13019,4/18/2021,124,74,39,19,
13026,4/12/2021,1,1,27,6,1
1584,4/18/2021,32,20,11,9,22
1585,4/18/2021,,,1,1,4
13017,4/18/2021,121,83,18,12,
13020,4/18/2021,65,52,6,3,
13013,4/18/2021,128,84,19,9,
13014,4/18/2021,117,81,,14,
13252,4/18/2021,41,74,,,2
8767,4/23/2021,50,,,,
8688,4/23/2021,54,,,,
8641,4/23/2021,87,,6.9,0.1,4.1
13012,4/23/2021,28,23,9,3,11
12488,4/23/2021,,,,5,
13251,2/26/2021,1,1,50,12,1
12976,4/23/2021,43,42,11,3,7
13250,4/23/2021,157,115,2,33,61
5507,4/23/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/22/2021,54,56,6,2,8
12957,4/23/2021,28,26,2,5,1
13015,4/23/2021,48,47,30,21,
13018,4/23/2021,22,17,5,2,
13019,4/23/2021,38,32,20,5,
13026,4/12/2021,1,1,27,6,1
1584,4/23/2021,51,33,11,3,22
1585,4/23/2021,,,4,1,4
13017,4/23/2021,46,45,15,6,
13020,4/23/2021,18,13,4,2,
13013,4/23/2021,37,37,18,10,
13014,4/23/2021,49,37,,5,
13252,4/23/2021,86,102,1,,5
8767,4/27/2021,70,,,,
8688,4/27/2021,74,,,,
8641,4/27/2021,85,,7.4,0.1,5.6
13012,4/27/2021,30,24,7,3,11
12488,4/27/2021,,,,9,
13251,2/26/2021,1,1,50,12,1
12976,4/27/2021,76,140,13,5,8
13250,4/27/2021,29,1,1,35,66
5507,4/27/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/27/2021,20,18,3,3,2
12957,4/27/2021,18,19,4,30,8
13015,4/27/2021,59,53,39,36,
13018,4/27/2021,16,11,10,3,
13019,4/27/2021,28,21,26,9,
13026,4/12/2021,1,1,27,6,1
1584,4/27/2021,32,21,11,2,22
1585,4/27/2021,,,2,1,4
13017,4/27/2021,51,51,13,8,
13020,4/27/2021,18,13,8,3,
13013,4/27/2021,63,57,21,15,
13014,4/27/2021,43,29,,9,
13252,4/27/2021,51,52,1,,7
8767,4/29/2021,74,,,,
8688,4/29/2021,34,,,,
8641,4/29/2021,74,,7.8,0.1,5.1
13012,4/29/2021,19,16,3,1,11
12488,4/29/2021,,,,5,
13251,2/26/2021,1,1,50,12,1
12976,4/29/2021,53,52,9,2,18
13250,4/29/2021,29,1,1,37,64
5507,4/29/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/29/2021,27,25,2,2,2
12957,4/29/2021,35,33,2,3,2
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,4/29/2021,42,34,11,3,28
1585,4/29/2021,,,2,1,4
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,4/29/2021,30,21,,5,
13252,4/29/2021,60,107,1,,6
8767,4/27/2021,78,,,,
8688,5/2/2021,131,,,,
8641,5/2/2021,76,,8.7,0.2,4.6
13012,4/29/2021,19,17,3,1,11
12488,4/29/2021,,,,5,
13251,2/26/2021,1,1,50,12,1
12976,4/29/2021,91,108,11,3,7
13250,4/29/2021,29,1,2,44,66
5507,4/29/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,4/29/2021,30,28,3,2,2
12957,4/29/2021,44,38,5,3,2
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,4/29/2021,40,34,11,3,24
1585,4/29/2021,,,1,1,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,4/29/2021,27,19,,5,
13252,4/29/2021,57,107,1,,2
8767,5/5/2021,91,,,,
8688,5/5/2021,33,,,,
8641,5/5/2021,74,,8.7,0.2,4.6
13012,5/5/2021,25,17,4,2,12
12488,5/5/2021,,,,8,
13251,2/26/2021,1,1,50,12,1
12976,5/5/2021,153,85,12,3,12
13250,5/5/2021,,1,3,34,53
5507,4/29/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,5/5/2021,48,51,4,1,2
12957,5/5/2021,49,39,6,4,1
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/4/2021,58,33,11,1,24
1585,5/5/2021,,,7,7,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/4/2021,41,29,,5,
13252,5/5/2021,40,37,1,,2
8767,5/10/2021,55,,,,
8688,5/10/2021,53,,,,
8641,5/10/2021,112,,6.4,0.1,4.1
13012,5/10/2021,40,31,7,3,12
12488,5/10/2021,,,,7,
13251,2/26/2021,1,1,50,12,1
12976,5/10/2021,76,68,7,1,7
13250,5/10/2021,,1,1,34,55
5507,4/29/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,5/10/2021,39,39,13,1,1
12957,5/10/2021,37,34,2,6,1
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/5/2021,58,33,10,1,23
1585,5/10/2021,,,1,1,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/10/2021,87,113,1,,2
8767,5/11/2021,70,,,,
8688,5/11/2021,58,,,,
8641,5/11/2021,117,,7.4,0.1,3.6
13012,5/11/2021,52,37,6,3,12
12488,5/11/2021,,,,6,
13251,2/26/2021,0,0,0,0,0
12976,5/11/2021,50,39,5,1,7
13250,5/10/2021,,1,1,34,55
5507,4/29/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,5/11/2021,41,39,5,1,1
12957,5/11/2021,56,40,2,7,1
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/5/2021,58,33,10,1,23
1585,5/11/2021,,,1,1,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/11/2021,73,73,1,,2
8767,5/13/2021,57,,,,
8688,5/11/2021,14,,,,
8641,5/13/2021,61,,7.4,0.2,4.6
13012,5/13/2021,33,30,5,2,12
12488,5/13/2021,,,,7,
13251,2/26/2021,0,0,0,0,0
12976,5/13/2021,70,63,12,2,7
13250,5/13/2021,21,1,2,34,53
5507,4/29/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,5/13/2021,50,59,15,2,1
12957,5/13/2021,30,26,6,6,1
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/5/2021,58,33,10,1,23
1585,5/13/2021,,,1,1,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/13/2021,75,103,1,,2
8767,5/15/2021,38,,,,
8688,5/14/2021,89,,,,
8641,5/15/2021,97,,6,0.1,4.1
13012,5/15/2021,11,13,5,2,12
12488,5/15/2021,,,,5,
13251,2/26/2021,0,0,0,0,0
12976,5/15/2021,44,49,5,1,7
13250,5/15/2021,21,1,1,32,53
5507,4/29/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,5/15/2021,23,25,6,1,4
12957,5/15/2021,23,23,2,7,1
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/5/2021,58,33,10,1,23
1585,5/15/2021,,,1,1,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/15/2021,76,84,1,,2
8767,5/18/2021,61,,,,
8688,5/18/2021,45,,,,
8641,5/18/2021,53,,6.4,0.1,4.6
13012,5/18/2021,20,20,6,2,13
12488,5/18/2021,,,,7,
13251,2/26/2021,0,0,0,0,0
12976,5/18/2021,19,18,5,2,7
13250,5/18/2021,2,1,2,47,52
5507,4/29/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,5/18/2021,23,24,7,1,7
12957,5/18/2021,24,23,1,7,2
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/5/2021,58,33,10,1,23
1585,5/18/2021,,,5,3,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/18/2021,105,91,1,,2
8767,5/19/2021,85,,,,
8688,5/19/2021,55,,,,
8641,5/19/2021,93,,6.4,0.1,4.1
13012,5/19/2021,11,12,8,2,12
12488,5/19/2021,,,,3,
13251,2/26/2021,0,0,0,0,0
12976,5/19/2021,50,55,5,2,7
13250,5/13/2021,2,1,1,35,55
5507,4/29/2021,,,,,
11778,5/19/2021,5,5,3,2,1
12958,5/19/2021,46,50,5,1,18
12957,5/13/2021,51,40,1,6,2
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/5/2021,58,33,10,1,23
1585,5/19/2021,,,1,1,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/19/2021,100,142,1,,2
8767,5/20/2021,53,,,,
8688,5/20/2021,57,,,,
8641,5/20/2021,85,,7.4,0.1,4.1
13012,5/20/2021,15,14,8,2,12
12488,5/20/2021,,,,4,
13251,2/26/2021,0,0,0,0,0
12976,5/20/2021,53,57,9,2,7
13250,5/20/2021,2,1,6,34,53
5507,4/29/2021,,,,,
11778,5/20/2021,7,6,3,3,1
12958,5/20/2021,60,57,5,1,10
12957,5/20/2021,56,44,2,7,1
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/5/2021,58,33,10,1,23
1585,5/20/2021,,,4,2,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/20/2021,75,83,1,,1
8767,5/21/2021,57,,,,
8688,5/21/2021,48,,,,
8641,5/21/2021,102,,6.4,0.1,4.6
13012,5/21/2021,36,31,14,4,12
12488,5/21/2021,,,,3,
13251,2/26/2021,1,1,50,12,1
12976,5/20/2021,63,69,13,3,7
13250,5/21/2021,2,1,2,34,52
5507,4/29/2021,,99.5,,,
11778,5/21/2021,6,6,3,4,1
12958,5/20/2021,74,69,12,2,20
12957,5/20/2021,66,51,1,6,2
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/21/2021,25,21,11,1,25
1585,5/21/2021,,,5,2,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/21/2021,79,97,1,,1
8767,5/24/2021,57,,,,
8688,5/24/2021,57,,,,
8641,5/24/2021,78,,6.9,0.1,4.6
13012,5/24/2021,22,27,10,3,13
12488,5/24/2021,,,,10,
13251,2/26/2021,1,1,50,12,1
12976,5/24/2021,95,57,8,5,7
13250,5/24/2021,27,26,2,45,52
5507,4/29/2021,,99.5,,,
11778,5/24/2021,7,9,8,7,1
12958,5/24/2021,29,38,2,2,1
12957,5/24/2021,43,33,2,7,3
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/24/2021,49,31,10,6,25
1585,5/24/2021,,,3,1,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/24/2021,56,69,1,,1
8767,5/26/2021,46,,,,
8688,5/26/2021,90,,,,
8641,5/26/2021,159,,7.4,0.2,5.1
13012,5/26/2021,17,17,8,3,14
12488,5/26/2021,,,,5,
13251,2/26/2021,1,1,50,12,1
12976,5/26/2021,68,46,5,5,8
13250,5/26/2021,27,1,3,40,56
5507,4/29/2021,,99.5,,,
11778,5/26/2021,2,3,5,10,7
12958,5/26/2021,66,55,19,4,1
12957,5/26/2021,79,51,4,5,2
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/26/2021,43,31,11,7,26
1585,5/26/2021,,,8,8,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/26/2021,88,89,1,,1
8767,5/28/2021,63,,,,
8688,5/28/2021,72,,,,
8641,5/28/2021,97,,6.9,0.2,5.1
13012,5/28/2021,19,15,10,4,14
12488,5/28/2021,,,,5,
13251,2/26/2021,1,1,50,12,1
12976,5/28/2021,59,43,7,3,8
13250,5/28/2021,27,1,1,42,84
5507,4/29/2021,,99.5,,,
11778,5/28/2021,2,3,4,13,1
12958,5/28/2021,39,52,9,2,1
12957,5/28/2021,46,37,6,7,2
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
13026,4/12/2021,1,1,27,6,1
1584,5/28/2021,56,37,10,5,27
1585,5/28/2021,,,7,6,5
13017,4/27/2021,41,37,18,17,
13020,4/27/2021,32,27,7,3,
13013,4/27/2021,74,63,19,12,
13014,5/5/2021,18,12,,5,
13252,5/28/2021,70,65,1,,1
8767,5/30/2021,53,,,,
8688,5/30/2021,54,,,,
8641,5/30/2021,102,,6.9,0.1,4.6
13012,5/30/2021,20,18,4,1,12
12488,5/30/2021,,,,3,
13251,2/26/2021,1,1,50,12,1
12976,5/30/2021,40,37,6,1,11
13250,5/30/2021,27,1,2,37,53
5507,4/29/2021,,99.5,,,
11778,5/30/2021,8,10,25,11,2
12958,5/30/2021,58,58,7,1,9
12957,5/30/2021,65,53,2,7,3
13015,4/27/2021,91,65,37,29,
13018,4/27/2021,36,23,6,4,
13019,4/27/2021,60,45,28,13,
